,price,ranks,title,no_of_reviews,ratings,author,cover_type,year,genre
670,15.79,79.0,The Jesus Storybook Bible: Every Story Whispers His Name,11859.0,4.9,Sally Lloyd-Jones,Hardcover,2015,Non Fiction
671,12.99,80.0,The Road to Character,3074.0,4.4,David Brooks,Hardcover,2015,Non Fiction
672,4.98,81.0,Where Is Baby's Belly Button? A Lift-the-Flap Book,12738.0,4.8,Karen Katz,Board book,2015,Non Fiction
673,13.29,82.0,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",94750.0,4.7,Paulo Coelho,Paperback,2015,Fiction
674,13.95,83.0,Guess How Much I Love You,5890.0,4.8,Sam McBratney,Board book,2015,Fiction
675,9.99,84.0,"Creative Coloring Inspirations: Art Activity Pages to Relax and Enjoy! (Design Originals) 30 Motivating & Creative Art Activities on High-Quality, Extra-Thick Perforated Pages that Won't Bleed Through",1797.0,4.7,Valentina Harper,Paperback,2015,Non Fiction
676,9.99,85.0,Little Blue Truck,1958.0,4.9,Alice Schertle,Board book,2015,Fiction
677,9.49,86.0,The Outsiders,30584.0,4.8,S. E. Hinton,Paperback,2015,Fiction
678,11.29,87.0,"Thinking, Fast and Slow",29732.0,4.6,Daniel Kahneman,Paperback,2015,Non Fiction
679,7.5,88.0,"The Everything Kids' Science Experiments Book: Boil Ice, Float Water, Measure Gravity-Challenge the World Around You!",6281.0,4.6,Tom Robinson,Paperback,2015,Non Fiction
680,7.48,89.0,George Orwell,72441.0,4.7,George Orwell,Mass Market Paperback,2015,Fiction
681,20.97,90.0,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",9891.0,4.7,Kerry Patterson,Paperback,2015,Non Fiction
682,14.98,91.0,Emotional Intelligence 2.0,10429.0,4.5,Travis Bradberry,Hardcover,2015,Fiction
683,10.4,92.0,For the Love: Fighting for Grace in a World of Impossible Standards,1862.0,4.6,Jen Hatmaker,Hardcover,2015,Non Fiction
684,13.48,93.0,"Press Here (Interactive Book for Toddlers and Kids, Interactive Baby Book) (Press Here by Herve Tullet)",13598.0,4.8,Herve Tullet,Hardcover,2015,Non Fiction
685,8.22,94.0,Little Blue Truck board book,8204.0,4.9,Alice Schertle,Board book,2015,Non Fiction
686,4.55,95.0,"Brown Bear, Brown Bear, What Do You See?",47193.0,4.9,Bill Martin Jr.,Board book,2015,Fiction
687,6.78,96.0,A Long Walk to Water: Based on a True Story,16131.0,4.7,Linda Sue Park,Paperback,2015,Fiction
688,25.64,97.0,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,33321.0,4.7,George R. R. Martin,Mass Market Paperback,2015,Fiction
689,13.32,98.0,Rogue Lawyer: A Novel,17686.0,4.2,John Grisham,Hardcover,2015,Fiction
690,4.72,99.0,Detailed Designs and Beautiful Patterns (Sacred Mandala Designs and Patterns Coloring Books for Adults),1060.0,4.5,Lilt Kids Coloring Books,Paperback,2015,Non Fiction
691,5.99,100.0,Lord of the Flies,31815.0,4.6,William Golding,Mass Market Paperback,2015,Fiction
692,11.46,1.0,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",43339.0,4.3,J.K. Rowling,Hardcover,2016,Fiction
693,18.29,2.0,StrengthsFinder 2.0,7082.0,4.1,Gallup,Hardcover,2016,Non Fiction
694,4.78,3.0,First 100 Words: A Padded Board Book,35236.0,4.7,Roger Priddy,Board book,2016,Non Fiction
695,8.32,4.0,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,28111.0,4.5,Marie Kondō,Hardcover,2016,Non Fiction
696,8.48,5.0,"Oh, the Places You'll Go!",42848.0,4.9,Dr. Seuss,Hardcover,2016,Fiction
697,14.25,6.0,Diary of a Wimpy Kid #11: Double Down,14027.0,4.8,Jeff Kinney,Hardcover,2016,Fiction
698,12.77,7.0,When Breath Becomes Air,29336.0,4.8,Paul Kalanithi,Hardcover,2016,Non Fiction
699,6.9,8.0,Giraffes Can't Dance,28447.0,4.8,Giles Andreae,Board book,2016,Fiction
700,7.57,9.0,The 5 Love Languages: The Secret to Love that Lasts,69866.0,4.8,Gary Chapman,Paperback,2016,Non Fiction
701,14.68,10.0,The Whole30: The 30-Day Guide to Total Health and Food Freedom,15544.0,4.6,Melissa Hartwig Urban,Hardcover,2016,Non Fiction
702,7.63,11.0,A Man Called Ove: A Novel,56988.0,4.7,Fredrik Backman,Paperback,2016,Fiction
703,11.7,12.0,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),11308.0,4.8,Bill O'Reilly,Hardcover,2016,Non Fiction
704,10.5,13.0,How to Win Friends & Influence People,79094.0,4.7,Dale Carnegie,Paperback,2016,Non Fiction
705,12.07,14.0,The Magnolia Story,10133.0,4.8,Chip Gaines,Hardcover,2016,Non Fiction
706,4.99,15.0,Laugh-Out-Loud Jokes for Kids,10751.0,4.6,Rob Elliott,Paperback,2016,Non Fiction
707,17.36,16.0,To Kill a Mockingbird,68842.0,4.8,Harper Lee,Mass Market Paperback,2016,Fiction
708,12.45,17.0,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,29400.0,4.5,J. D. Vance,Hardcover,2016,Non Fiction
709,13.4,18.0,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),9202.0,4.7,J.K. Rowling,Hardcover,2016,Fiction
710,23.69,19.0,Hamilton: The Revolution,13105.0,4.9,Lin-Manuel Miranda,Hardcover,2016,Non Fiction
711,10.33,20.0,The Girl on the Train,91515.0,4.1,Paula Hawkins,Paperback,2016,Fiction
712,8.55,21.0,Mindset: The New Psychology of Success,13911.0,4.6,Carol S. Dweck,Paperback,2016,Non Fiction
713,9.09,22.0,"The Official SAT Study Guide, 2016 Edition",1089.0,4.4,The College Board,Paperback,2016,Non Fiction
714,8.99,23.0,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns Paperback",3113.0,4.5,Adult Coloring Book Designs,Paperback,2016,unknown
715,7.74,24.0,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),86676.0,4.7,Don Miguel Ruiz,Paperback,2016,Non Fiction
716,7.38,25.0,Milk and Honey,46407.0,4.7,Rupi Kaur,Paperback,2016,Non Fiction
717,3.97,26.0,The Going-To-Bed Book,15393.0,4.8,Sandra Boynton,Board book,2016,Fiction
718,15.2,27.0,Born to Run,5515.0,4.7,Bruce Springsteen,Hardcover,2016,Non Fiction
719,9.94,28.0,Alexander Hamilton,19082.0,4.8,Ron Chernow,Paperback,2016,Non Fiction
720,4.93,29.0,The Very Hungry Caterpillar,54008.0,4.9,Eric Carle,Board book,2016,Fiction
721,17.99,30.0,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,9187.0,4.7,Stephen R. Covey,Paperback,2016,Non Fiction
722,1.5,31.0,The Constitution of the United States,5802.0,4.9,Delegates of the Constitutional Convention,Pamphlet,2016,Non Fiction
723,9.67,32.0,Wonder,35698.0,4.8,R. J. Palacio,Hardcover,2016,Fiction
724,8.55,33.0,The Wonderful Things You Will Be,25148.0,4.9,Emily Winfield Martin,Hardcover,2016,Fiction
725,8.45,34.0,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,35414.0,4.7,Jen Sincero,Paperback,2016,Non Fiction
726,25.99,35.0,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),14418.0,4.6,Thug Kitchen,Hardcover,2016,Non Fiction
727,33.9,36.0,PokÃ©mon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 PokÃ©mon,5158.0,4.7,Scholastic,Paperback,2016,Fiction
728,24.29,37.0,"Publication Manual of the American Psychological Association, 6th Edition",12674.0,4.5,American Psychological Association,Paperback,2016,Non Fiction
729,14.42,38.0,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,10707.0,4.7,Chrissy Teigen,Hardcover,2016,Non Fiction
730,12.92,39.0,Between the World and Me,20038.0,4.7,Ta-Nehisi Coates,Hardcover,2016,Non Fiction
731,4.99,40.0,Calm the F*ck Down: An Irreverent Adult Coloring Book,21068.0,4.6,Sasha O'Hara,Paperback,2016,Non Fiction
732,5.0,41.0,Dear Zoo: A Lift-the-Flap Book,26368.0,4.8,Rod Campbell,Board book,2016,Fiction
733,7.53,42.0,"Jesus Calling, Padded Hardcover, with Scripture references",31196.0,4.9,Sarah Young,Hardcover,2016,Fiction
734,5.49,43.0,Night (Night),8573.0,4.7,Elie Wiesel,Paperback,2016,Non Fiction
736,38.86,45.0,Harry Potter Paperback Box Set (Books 1-7),91629.0,4.9,J. K. Rowling,Paperback,2016,Fiction
737,21.99,46.0,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",21527.0,4.9,J.K. Rowling,Hardcover,2016,Fiction
738,9.05,47.0,10-Day Green Smoothie Cleanse,32825.0,4.7,JJ Smith,Paperback,2016,Non Fiction
739,8.47,48.0,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",9505.0,4.7,Lysa TerKeurst,Paperback,2016,Non Fiction
740,16.26,49.0,The Nightingale: A Novel,99932.0,4.8,Kristin Hannah,Hardcover,2016,Fiction
741,23.7,50.0,Harry Potter and the Chamber of Secrets: The Illustrated Edition (Illustrated) (2),13321.0,4.9,J. K. Rowling,Hardcover,2016,Fiction
742,8.29,51.0,Fahrenheit 451,34955.0,4.6,Ray Bradbury,Paperback,2016,Fiction
743,4.98,52.0,Love You Forever,53161.0,4.9,Robert Munsch,Paperback,2016,Fiction
744,6.79,53.0,The Great Gatsby: The Only Authorized Edition,18656.0,4.5,F. Scott Fitzgerald,Paperback,2016,Fiction
745,20.72,54.0,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",6296.0,4.6,Patrick Lencioni,Hardcover,2016,Fiction
746,18.98,55.0,All the Light We Cannot See,67291.0,4.6,Anthony Doerr,Hardcover,2016,Fiction
747,4.55,56.0,"Brown Bear, Brown Bear, What Do You See?",47193.0,4.9,Bill Martin Jr.,Board book,2016,Fiction
748,13.29,57.0,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",94750.0,4.7,Paulo Coelho,Paperback,2016,Fiction
749,11.89,58.0,"Fervent: A Woman's Battle Plan to Serious, Specific and Strategic Prayer",10074.0,4.9,Priscilla Shirer,Paperback,2016,Non Fiction
750,24.5,59.0,The Whistler,42265.0,4.4,John Grisham,Hardcover,2016,Fiction
751,4.14,60.0,If Animals Kissed Good Night,69538.0,4.8,Ann Whitford Paul,Board book,2016,Fiction
752,15.9,61.0,Cooking for Jeffrey: A Barefoot Contessa Cookbook,2405.0,4.7,Ina Garten,Hardcover,2016,Non Fiction
753,11.29,62.0,"The Trials of Apollo, Book 1: The Hidden Oracle (Trials of Apollo, 1)",9969.0,4.7,Rick Riordan,Hardcover,2016,Fiction
